,cell_type,transcriptId,count
400,mature GABAergic,ENSMUST00000170241.7,0.0
401,mature GABAergic,ENSMUST00000170241.7,0.0
402,imature GABAergic,ENSMUST00000170241.7,2.0
403,imature Glutamatergic,ENSMUST00000170241.7,3.0
404,mature Glutamatergic,ENSMUST00000170241.7,3.0
405,cycling radial glia,ENSMUST00000170241.7,1.0
406,intermediate progenitor,ENSMUST00000170241.7,1.0
407,intermediate progenitor,ENSMUST00000170241.7,1.0
408,mature GABAergic,ENSMUST00000170241.7,0.0
409,intermediate progenitor,ENSMUST00000170241.7,2.0
410,mature GABAergic,ENSMUST00000170241.7,0.0
411,intermediate progenitor,ENSMUST00000170241.7,0.0
412,mature GABAergic,ENSMUST00000170241.7,2.0
413,mature GABAergic,ENSMUST00000170241.7,0.0
414,mature Glutamatergic,ENSMUST00000170241.7,0.0
415,mature Glutamatergic,ENSMUST00000170241.7,0.0
416,mature Glutamatergic,ENSMUST00000170241.7,2.0
417,radial glia,ENSMUST00000170241.7,3.0
418,radial glia,ENSMUST00000170241.7,5.0
419,intermediate progenitor,ENSMUST00000170241.7,1.0
420,radial glia,ENSMUST00000170241.7,7.0
421,mature GABAergic,ENSMUST00000170241.7,0.0
422,intermediate progenitor,ENSMUST00000170241.7,0.0
423,imature GABAergic,ENSMUST00000170241.7,1.0
424,imature Glutamatergic,ENSMUST00000170241.7,0.0
425,mature Glutamatergic,ENSMUST00000170241.7,1.0
426,mature Glutamatergic,ENSMUST00000170241.7,0.0
427,imature Glutamatergic,ENSMUST00000170241.7,1.0
428,imature Glutamatergic,ENSMUST00000170241.7,0.0
429,mature GABAergic,ENSMUST00000170241.7,0.0
430,cycling radial glia,ENSMUST00000170241.7,2.0
431,imature Glutamatergic,ENSMUST00000170241.7,2.0
432,mature Glutamatergic,ENSMUST00000170241.7,0.0
433,cycling radial glia,ENSMUST00000170241.7,0.0
434,imature Glutamatergic,ENSMUST00000170241.7,2.0
435,imature Glutamatergic,ENSMUST00000170241.7,3.0
436,mature Glutamatergic,ENSMUST00000170241.7,0.0
437,mature GABAergic,ENSMUST00000170241.7,2.0
438,cycling radial glia,ENSMUST00000170241.7,2.0
439,imature Glutamatergic,ENSMUST00000170241.7,1.0
440,Cajal-Retzius,ENSMUST00000170241.7,0.0
441,imature Glutamatergic,ENSMUST00000170241.7,1.0
442,imature GABAergic,ENSMUST00000170241.7,1.0
443,imature GABAergic,ENSMUST00000170241.7,2.0
444,imature GABAergic,ENSMUST00000170241.7,0.0
445,mature Glutamatergic,ENSMUST00000170241.7,0.0
446,mature Glutamatergic,ENSMUST00000170241.7,0.0
447,cycling radial glia,ENSMUST00000170241.7,0.0
448,imature GABAergic,ENSMUST00000170241.7,1.0
449,imature GABAergic,ENSMUST00000170241.7,5.0
450,imature GABAergic,ENSMUST00000170241.7,1.0
451,mature GABAergic,ENSMUST00000170241.7,1.0
452,radial glia,ENSMUST00000170241.7,1.0
453,radial glia,ENSMUST00000170241.7,11.0
454,imature GABAergic,ENSMUST00000170241.7,1.0
455,cycling radial glia,ENSMUST00000170241.7,1.0
456,mature Glutamatergic,ENSMUST00000170241.7,1.0
457,mature Glutamatergic,ENSMUST00000170241.7,1.0
458,imature Glutamatergic,ENSMUST00000170241.7,0.0
